Vulnerability Type,Description,Severity,Exploitability
Static Code Analysis,Improper input validation leading to potential code injection.,High,Medium
Input Field Testing,Tested for buffer overflow by entering large payloads.,Critical,High
Automated Scanning,Detected open ports with vulnerable services exposed.,High,Medium
Reconnaissance,Found outdated software versions during recon phase.,Critical,Critical
Access Control,Unauthorized users could access privileged actions.,High,Low
XSS Testing,Discovered DOM-based XSS in JavaScript functions.,Low,Medium
XSS Testing,Executed stored XSS by injecting scripts in comment fields.,High,High
Input Field Testing,"Injected JavaScript payloads, causing XSS.",Critical,Medium
Automated Scanning,Found insecure HTTP methods enabled.,Medium,High
Input Field Testing,Tested for buffer overflow by entering large payloads.,Medium,High
Session Management,Reused session ID for unauthorized access.,Critical,Low
Input Field Testing,Bypassed client-side validation using web proxies.,Medium,Low
Dynamic Analysis,Executed XSS payload leading to data exfiltration.,Low,High
Database Vulnerabilities,Unencrypted database backups exposed sensitive information.,Low,High
Database Vulnerabilities,Discovered exposed database query logs.,Critical,Medium
File Upload Vulnerabilities,Allowed execution of uploaded files by bypassing security controls.,Medium,Low
Server-side Vulnerabilities,Weak SSH configuration allowed brute force attacks.,Medium,Critical
Static Code Analysis,Discovered weak encryption algorithm in use.,Medium,Critical
Database Vulnerabilities,Detected default admin credentials in database configuration.,Medium,Critical
Input Field Testing,Tested for buffer overflow by entering large payloads.,Medium,Medium
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,Medium,High
Password Security,Weak password policy allowing easily guessable passwords.,Medium,High
Access Control,Bypassed access control to access restricted admin resources.,Low,High
Database Vulnerabilities,Discovered exposed database query logs.,Low,High
XSS Testing,Executed stored XSS by injecting scripts in comment fields.,Medium,Critical
Database Vulnerabilities,Unencrypted database backups exposed sensitive information.,Critical,Critical
Automated Scanning,Detected open ports with vulnerable services exposed.,Critical,High
Database Vulnerabilities,Discovered exposed database query logs.,High,Critical
XSS Testing,Reflected XSS executed by embedding script in URL parameters.,Low,Low
Password Security,"No password complexity enforcement, allowing dictionary attacks.",Critical,Critical
Password Security,Lack of multi-factor authentication enabled brute-force attacks.,Critical,Low
File Upload Vulnerabilities,Uploaded malicious files due to missing file type validation.,Critical,Low
Automated Scanning,Found outdated software versions using automated vulnerability scanner.,Low,Low
XSS Testing,Reflected XSS executed by embedding script in URL parameters.,Critical,Critical
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,Medium,High
Static Code Analysis,Discovered weak encryption algorithm in use.,Critical,Critical
Automated Scanning,Found outdated software versions using automated vulnerability scanner.,High,Low
Session Management,"Weak session cookies, missing HttpOnly and Secure flags.",Low,High
XSS Testing,Injected script that executed on multiple user sessions.,Low,Medium
Automated Scanning,Detected open ports with vulnerable services exposed.,Low,Critical
Reconnaissance,Found outdated software versions during recon phase.,Medium,Critical
Password Security,Lack of multi-factor authentication enabled brute-force attacks.,High,Medium
Dynamic Analysis,Exploited SQL Injection in user login form.,Critical,Medium
Server-side Vulnerabilities,Allowed file inclusion due to improper server setup.,High,Medium
Dynamic Analysis,Executed XSS payload leading to data exfiltration.,High,Critical
Server-side Vulnerabilities,Weak SSH configuration allowed brute force attacks.,Critical,Critical
Reconnaissance,Found outdated software versions during recon phase.,Low,Low
Database Vulnerabilities,Detected default admin credentials in database configuration.,Critical,Critical
Database Vulnerabilities,Discovered exposed database query logs.,Medium,Critical
Reconnaissance,Found outdated software versions during recon phase.,Medium,Low
XSS Testing,Reflected XSS executed by embedding script in URL parameters.,Critical,Medium
Reconnaissance,Found outdated software versions during recon phase.,Medium,Low
Static Code Analysis,Found API keys embedded in JavaScript files.,Critical,High
XSS Testing,Executed stored XSS by injecting scripts in comment fields.,High,Low
Server-side Vulnerabilities,Allowed file inclusion due to improper server setup.,High,Low
Automated Scanning,Identified weak SSL/TLS configuration using a scanner.,Low,High
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,High,High
Automated Scanning,Detected open ports with vulnerable services exposed.,Critical,Low
Access Control,Bypassed access control to access restricted admin resources.,Medium,High
Input Field Testing,Tested for buffer overflow by entering large payloads.,Medium,Low
Reconnaissance,Found outdated software versions during recon phase.,High,Medium
XSS Testing,Reflected XSS executed by embedding script in URL parameters.,Critical,Low
Input Field Testing,Tested for buffer overflow by entering large payloads.,Low,Critical
Automated Scanning,Identified weak SSL/TLS configuration using a scanner.,High,High
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,Critical,Medium
Server-side Vulnerabilities,Allowed file inclusion due to improper server setup.,Low,High
Automated Scanning,Found outdated software versions using automated vulnerability scanner.,Low,Low
Automated Scanning,Identified weak SSL/TLS configuration using a scanner.,Low,High
XSS Testing,Injected script that executed on multiple user sessions.,Medium,High
XSS Testing,Reflected XSS executed by embedding script in URL parameters.,Low,Critical
Input Field Testing,"Injected JavaScript payloads, causing XSS.",Critical,Critical
Reconnaissance,Identified open ports using passive scanning and OS fingerprinting.,Low,Low
Session Management,Session did not expire properly after logout.,Critical,Critical
File Upload Vulnerabilities,Uploaded malicious files due to missing file type validation.,High,Critical
Session Management,Reused session ID for unauthorized access.,Low,Medium
File Upload Vulnerabilities,Allowed execution of uploaded files by bypassing security controls.,Critical,Medium
Dynamic Analysis,Executed XSS payload leading to data exfiltration.,Low,Low
Input Field Testing,"Injected JavaScript payloads, causing XSS.",Low,Medium
Dynamic Analysis,Exploited SQL Injection in user login form.,Low,High
Input Field Testing,Bypassed client-side validation using web proxies.,Medium,High
Static Code Analysis,Discovered weak encryption algorithm in use.,Low,Medium
Session Management,Reused session ID for unauthorized access.,Low,Critical
Dynamic Analysis,Exploited SQL Injection in user login form.,High,Low
Reconnaissance,Identified open ports using passive scanning and OS fingerprinting.,Critical,Medium
Database Vulnerabilities,Unencrypted database backups exposed sensitive information.,Low,Critical
Server-side Vulnerabilities,Weak SSH configuration allowed brute force attacks.,High,High
Reconnaissance,Detected subdomains hosting vulnerable services.,Critical,Low
Password Security,Passwords stored using weak hashing algorithm.,High,Low
Automated Scanning,Found outdated software versions using automated vulnerability scanner.,Low,Medium
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,High,Medium
Server-side Vulnerabilities,Detected insecure server headers like X-Frame-Options missing.,Low,Low
Automated Scanning,Identified weak SSL/TLS configuration using a scanner.,Critical,Critical
Server-side Vulnerabilities,Detected insecure server headers like X-Frame-Options missing.,Medium,Medium
Reconnaissance,Identified open ports using passive scanning and OS fingerprinting.,Critical,Medium
Password Security,Passwords stored using weak hashing algorithm.,Critical,Critical
File Upload Vulnerabilities,Allowed execution of uploaded files by bypassing security controls.,Critical,Medium
Access Control,Unauthorized users could access privileged actions.,Critical,Low
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,Low,Medium
Server-side Vulnerabilities,Detected insecure server headers like X-Frame-Options missing.,Medium,Medium
Dynamic Analysis,Exploited SQL Injection in user login form.,Low,Low
Dynamic Analysis,Discovered reflected XSS vulnerability.,Low,Critical
Database Vulnerabilities,Discovered exposed database query logs.,Medium,Low
Automated Scanning,Found insecure HTTP methods enabled.,High,Critical
Password Security,Passwords stored using weak hashing algorithm.,Low,High
Server-side Vulnerabilities,Weak SSH configuration allowed brute force attacks.,Critical,High
Dynamic Analysis,Executed XSS payload leading to data exfiltration.,Low,High
Dynamic Analysis,Discovered reflected XSS vulnerability.,Critical,Medium
XSS Testing,Injected script that executed on multiple user sessions.,Medium,Low
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,Medium,Low
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,Low,Medium
Reconnaissance,Detected subdomains hosting vulnerable services.,Medium,Low
Reconnaissance,Found outdated software versions during recon phase.,Medium,Critical
Reconnaissance,Detected subdomains hosting vulnerable services.,Critical,Low
Database Vulnerabilities,Discovered exposed database query logs.,High,Low
Session Management,"Weak session cookies, missing HttpOnly and Secure flags.",Medium,Critical
Input Field Testing,"Injected SQL statements in form fields, manipulating DB queries.",Critical,High
Static Code Analysis,Detected hardcoded credentials in the source code.,Critical,Low
XSS Testing,Discovered DOM-based XSS in JavaScript functions.,Critical,Critical
Reconnaissance,Found outdated software versions during recon phase.,High,Low
Access Control,Unauthorized users could access privileged actions.,High,Low
File Upload Vulnerabilities,Improper sanitization of uploaded files leading to RCE.,Critical,Medium
Access Control,Bypassed access control to access restricted admin resources.,Critical,Low
Access Control,Exploited weak access control rules in API endpoints.,Low,Low
Automated Scanning,Identified weak SSL/TLS configuration using a scanner.,Critical,Low
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,High,Critical
Password Security,Lack of multi-factor authentication enabled brute-force attacks.,High,High
Password Security,Weak password policy allowing easily guessable passwords.,Low,Low
Dynamic Analysis,Exploited SQL Injection in user login form.,Low,Critical
Input Field Testing,"Injected SQL statements in form fields, manipulating DB queries.",Medium,Critical
Automated Scanning,Detected open ports with vulnerable services exposed.,Medium,Low
Input Field Testing,"Injected SQL statements in form fields, manipulating DB queries.",High,Medium
Database Vulnerabilities,Detected default admin credentials in database configuration.,High,High
Reconnaissance,Found outdated software versions during recon phase.,Critical,Medium
Server-side Vulnerabilities,Allowed file inclusion due to improper server setup.,Critical,High
Session Management,Reused session ID for unauthorized access.,Low,High
Dynamic Analysis,Discovered reflected XSS vulnerability.,Medium,Low
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,Low,High
Server-side Vulnerabilities,Weak SSH configuration allowed brute force attacks.,Medium,Critical
Session Management,Reused session ID for unauthorized access.,Medium,Medium
File Upload Vulnerabilities,Improper sanitization of uploaded files leading to RCE.,Critical,Low
Database Vulnerabilities,Unencrypted database backups exposed sensitive information.,Medium,Critical
XSS Testing,Executed stored XSS by injecting scripts in comment fields.,Low,Low
Password Security,Lack of multi-factor authentication enabled brute-force attacks.,Medium,High
Server-side Vulnerabilities,Allowed file inclusion due to improper server setup.,High,Critical
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,Critical,High
Reconnaissance,Identified open ports using passive scanning and OS fingerprinting.,Critical,Low
Input Field Testing,Tested for buffer overflow by entering large payloads.,Low,Low
Dynamic Analysis,Exploited SQL Injection in user login form.,Critical,High
Automated Scanning,Found outdated software versions using automated vulnerability scanner.,Critical,High
Access Control,Bypassed access control to access restricted admin resources.,High,Low
File Upload Vulnerabilities,Improper sanitization of uploaded files leading to RCE.,High,High
Static Code Analysis,Detected hardcoded credentials in the source code.,Medium,Low
Input Field Testing,"Injected SQL statements in form fields, manipulating DB queries.",Low,Critical
Dynamic Analysis,Executed XSS payload leading to data exfiltration.,Medium,Medium
Automated Scanning,Found outdated software versions using automated vulnerability scanner.,Medium,High
Reconnaissance,Identified open ports using passive scanning and OS fingerprinting.,Low,High
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,Medium,Critical
File Upload Vulnerabilities,Improper sanitization of uploaded files leading to RCE.,Critical,Medium
Server-side Vulnerabilities,Weak SSH configuration allowed brute force attacks.,Critical,Critical
XSS Testing,Injected script that executed on multiple user sessions.,High,Low
Access Control,Bypassed access control to access restricted admin resources.,High,High
File Upload Vulnerabilities,Uploaded malicious files due to missing file type validation.,High,Medium
Database Vulnerabilities,Unencrypted database backups exposed sensitive information.,Medium,High
Reconnaissance,Identified open ports using passive scanning and OS fingerprinting.,Low,Medium
Automated Scanning,Detected open ports with vulnerable services exposed.,Critical,Low
Automated Scanning,Identified weak SSL/TLS configuration using a scanner.,Critical,High
Dynamic Analysis,Executed XSS payload leading to data exfiltration.,High,Low
Password Security,Passwords stored using weak hashing algorithm.,Low,Medium
Automated Scanning,Found outdated software versions using automated vulnerability scanner.,Low,Medium
Access Control,Bypassed access control to access restricted admin resources.,Medium,Medium
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,Low,High
Reconnaissance,Identified open ports using passive scanning and OS fingerprinting.,Low,Low
Access Control,Exploited weak access control rules in API endpoints.,Low,Low
Database Vulnerabilities,Discovered exposed database query logs.,Medium,Low
XSS Testing,Discovered DOM-based XSS in JavaScript functions.,Low,Low
Server-side Vulnerabilities,Allowed file inclusion due to improper server setup.,Low,Critical
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,High,Low
Static Code Analysis,Detected hardcoded credentials in the source code.,Low,Critical
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,Critical,Critical
Static Code Analysis,Discovered weak encryption algorithm in use.,High,Critical
Server-side Vulnerabilities,Weak SSH configuration allowed brute force attacks.,Critical,Medium
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,Medium,Low
Password Security,Weak password policy allowing easily guessable passwords.,Critical,High
Access Control,Exploited weak access control rules in API endpoints.,High,Low
Access Control,Exploited weak access control rules in API endpoints.,Critical,Medium
Database Vulnerabilities,Unencrypted database backups exposed sensitive information.,High,Critical
Input Field Testing,"Injected SQL statements in form fields, manipulating DB queries.",Medium,High
Access Control,Bypassed access control to access restricted admin resources.,Critical,Low
Session Management,Session did not expire properly after logout.,High,Critical
Database Vulnerabilities,Detected default admin credentials in database configuration.,High,Medium
File Upload Vulnerabilities,Improper sanitization of uploaded files leading to RCE.,Low,Low
Reconnaissance,Gathered sensitive information such as server details and CMS version.,High,Low
Database Vulnerabilities,Unencrypted database backups exposed sensitive information.,Low,Low
Access Control,Exploited weak access control rules in API endpoints.,High,Medium
Access Control,Bypassed access control to access restricted admin resources.,Low,Critical
Reconnaissance,Found outdated software versions during recon phase.,High,Medium
Automated Scanning,Identified weak SSL/TLS configuration using a scanner.,Critical,Low
Database Vulnerabilities,Detected default admin credentials in database configuration.,Critical,Critical
XSS Testing,Injected script that executed on multiple user sessions.,Low,Critical
Dynamic Analysis,Performed a successful SSRF attack to access internal resources.,Medium,High
XSS Testing,Executed stored XSS by injecting scripts in comment fields.,Low,Low
Input Field Testing,Bypassed client-side validation using web proxies.,High,Critical
Session Management,"Weak session cookies, missing HttpOnly and Secure flags.",Medium,High
Access Control,Bypassed access control to access restricted admin resources.,Critical,Low
Server-side Vulnerabilities,Weak SSH configuration allowed brute force attacks.,Low,Low
Server-side Vulnerabilities,Weak SSH configuration allowed brute force attacks.,Low,High
Database Vulnerabilities,Detected default admin credentials in database configuration.,Medium,High
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,Medium,Low
Automated Scanning,Identified weak SSL/TLS configuration using a scanner.,High,Medium
Dynamic Analysis,Exploited SQL Injection in user login form.,Critical,Medium
Access Control,Exploited weak access control rules in API endpoints.,Low,High
Dynamic Analysis,Exploited SQL Injection in user login form.,Medium,Critical
Input Field Testing,"Injected JavaScript payloads, causing XSS.",Critical,Critical
Database Vulnerabilities,Unencrypted database backups exposed sensitive information.,High,Low
File Upload Vulnerabilities,Improper sanitization of uploaded files leading to RCE.,Medium,High
Automated Scanning,Detected open ports with vulnerable services exposed.,Medium,High
Reconnaissance,Identified open ports using passive scanning and OS fingerprinting.,High,High
Database Vulnerabilities,Discovered exposed database query logs.,Low,Low
Session Management,Session did not expire properly after logout.,Medium,Medium
Session Management,"Weak session cookies, missing HttpOnly and Secure flags.",Low,Critical
File Upload Vulnerabilities,Improper sanitization of uploaded files leading to RCE.,Low,Critical
Server-side Vulnerabilities,Allowed file inclusion due to improper server setup.,Critical,Critical
Dynamic Analysis,Exploited SQL Injection in user login form.,Medium,High
Password Security,"No password complexity enforcement, allowing dictionary attacks.",Critical,Critical
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,Critical,Medium
Database Vulnerabilities,Discovered exposed database query logs.,Low,Critical
Database Vulnerabilities,Unencrypted database backups exposed sensitive information.,High,Medium
XSS Testing,Discovered DOM-based XSS in JavaScript functions.,Medium,Critical
Automated Scanning,Found outdated software versions using automated vulnerability scanner.,Low,High
Dynamic Analysis,Discovered reflected XSS vulnerability.,Critical,High
Reconnaissance,Detected subdomains hosting vulnerable services.,Low,Low
File Upload Vulnerabilities,Allowed execution of uploaded files by bypassing security controls.,High,Medium
Access Control,Exploited weak access control rules in API endpoints.,High,High
Dynamic Analysis,Executed XSS payload leading to data exfiltration.,Medium,Medium
Dynamic Analysis,Executed XSS payload leading to data exfiltration.,High,Low
Reconnaissance,Identified open ports using passive scanning and OS fingerprinting.,Low,High
Input Field Testing,"Injected JavaScript payloads, causing XSS.",Low,High
Input Field Testing,"Injected SQL statements in form fields, manipulating DB queries.",Critical,High
Password Security,Passwords stored using weak hashing algorithm.,Medium,Critical
Server-side Vulnerabilities,Detected insecure server headers like X-Frame-Options missing.,Low,Critical
Server-side Vulnerabilities,Allowed file inclusion due to improper server setup.,High,Low
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,High,Critical
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,Low,Low
XSS Testing,Executed stored XSS by injecting scripts in comment fields.,Critical,Critical
Password Security,"No password complexity enforcement, allowing dictionary attacks.",High,High
Server-side Vulnerabilities,Detected insecure server headers like X-Frame-Options missing.,Critical,Low
Session Management,"Weak session cookies, missing HttpOnly and Secure flags.",Medium,Medium
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,Low,Low
Password Security,Passwords stored using weak hashing algorithm.,Medium,High
Database Vulnerabilities,Detected default admin credentials in database configuration.,Medium,Medium
Password Security,Lack of multi-factor authentication enabled brute-force attacks.,High,High
XSS Testing,Executed stored XSS by injecting scripts in comment fields.,Critical,Critical
Database Vulnerabilities,Unencrypted database backups exposed sensitive information.,Medium,Critical
